importer_name,Recency_days,Frequency,Monetary,R_Score,F_Score,M_Score,Segment
KARYA NIAGA INDO PERSADA,373,599,3347299245.0,2,4,3,At Risk
KARYA PANGAN NUSANTARA,1527,65,3427097.0,1,4,2,Can't Lose Them
KARYA PERDANA,768,4,848675.0,2,2,1,About to Sleep
KARYA PERSADA MANDIRI,1490,1,5550824262.0,1,1,3,Lost
KARYA PRAYUDI,184,1,1398197197.0,3,1,3,New Customers
KARYA PRIMA KANVAS,1512,1,51250.0,1,1,1,Lost
KARYA PRIMA MANUFAKTUR,237,12,49449246.0,3,3,3,Loyal Customers
KARYA PRIMA SUPLINDO,1744,2,8865718024.0,1,2,4,Hibernating
KARYA PUTRA MAKMUR,362,1,1069889.0,2,1,2,Hibernating
KARYA PUTRA MANDIRI INDONESIA,1224,1,1049544562.0,1,1,3,Lost
KARYA PUTRA SANGKURIANG,944,23,1354103.0,2,3,2,At Risk
KARYA PUTRA SUKSES,535,2,8133276.0,2,2,2,About to Sleep
KARYA SAHABAT GLOBAL,1540,1,237234.0,1,1,1,Lost
KARYA SEJATI INDONESIA,12,51,39883188306.0,4,4,4,Champions
KARYA SEJATI MEGARAYA,820,39,46910851.0,2,4,3,At Risk
KARYA SOLUSI NASIONAL,1052,25,1852056.0,1,3,2,Can't Lose Them
KARYA SUKSES BERJAYA,307,5,73780.0,3,2,1,Need Attention
KARYA SUKSES PLASINDO,272,1,667552515.0,3,1,3,New Customers
KARYA SUKSES SELARAS,97,20,27703336.0,3,3,2,Potential Loyalist
KARYA SUMBER BAJA,335,1,6778275753.0,2,1,4,Hibernating
KARYA SUMIDEN INDONESIA,1,60,378940537.0,4,4,3,Loyal Customers
KARYA SWADARMA MEDIATAMA,1451,15,1385939011.0,1,3,3,Can't Lose Them
KARYA TANI SEMESTA,1445,4,7726803384.0,1,2,4,Hibernating
KARYA TEGUH TRANSPORTASI,527,4,1077330.0,2,2,2,About to Sleep
KARYA TEHNIK MARINE CENTER,35,3,1266687725.0,4,2,3,New Customers
KARYA TERANG SENTOSA,113,2,2280567706.0,3,2,3,New Customers
KARYA TIGA ALAMI,399,4,50519046.0,2,2,3,About to Sleep
KARYA TRIBINA JAYA,232,20,53174594304.08327,3,3,4,Champions
KARYA TUNAS MUSTIKA,49,1,1322604.0,3,1,2,Need Attention
KARYA UNGGULAN KARGO,55,22,21269993583.0,3,3,4,Champions
KARYA UTAMA INTI SUKSES,533,9,17823226506.0,2,3,4,At Risk
KARYA WIGUNA UTAMA,112,178,703855042.0,3,4,3,Loyal Customers
KARYA YASANTARA CAKTI,1119,8,75758526.0,1,3,3,Can't Lose Them
KARYABHAKTI MANUNGGAL,567,1,2575419.0,2,1,2,Hibernating
KARYADIBYA MAHARDHIKA,246,12,8294507165.0,3,3,4,Champions
KARYAINDAH ALAM SEJAHTERA,108,3,3208485655.0,3,2,3,New Customers
KARYAMANDIRI SEMESTA,62,48,3648644782.0,3,4,3,Loyal Customers
KARYATERANG SEDATI,9,51,104550189749.0,4,4,4,Champions
KASAI TECK SEE INDONESIA,10,31,15541784381.0,4,4,4,Champions
KASEN INDONESIA,84,2,1275967252.0,3,2,3,New Customers
KASHIMA SEIKI INDONESIA,658,1,450915.0,2,1,1,Hibernating
KASIH KARUNIA,1498,2,484796.0,1,2,1,Hibernating
KASIH KARUNIA SEJATI,618,39,302478756.0,2,4,3,At Risk
KASMAJI INTI UTAMA,1164,6,3410364.0,1,2,2,Hibernating
KASONGAN BUMI KENCANA,1662,4,1300500.0,1,2,2,Hibernating
KASTARA PRIMABARKAH INDONESIA,779,1,8160.0,2,1,1,Hibernating
KASUGAI PRODUKSI INDONESIA,8,18,69119661.0,4,3,3,Loyal Customers
KATUP INDUSTRI INDONESIA,17,4,1385475.0,4,2,2,Need Attention
KATUP INOVASI MANDIRI,24,1,3430.0,4,1,1,Need Attention
KATUP SINAR TEKNIK,430,1,1057566859.0,2,1,3,Hibernating
KATWARA,2,1,29000.0,4,1,1,Need Attention
KAVA ABADI,617,1,16500.0,2,1,1,Hibernating
KAVINDO,29,8,103441.0,4,3,1,Promising
KAWAGUCHI KIMIA INDONESIA,1417,10,4137906.0,1,3,2,Can't Lose Them
KAWAJUN INDONESIA,9,89,249371027210.0,4,4,4,Champions
KAWAN ABADI SELARAS,22,24,1184037328.0,4,3,3,Loyal Customers
KAWAN INTIM SENADA,574,1,813758.0,2,1,1,Hibernating
KAWAN LAMA INOVASI,1,1094,2491063740208.0,4,4,4,Champions
KAWAN LAMA SEJAHTERA,15,284,389339016034.0,4,4,4,Champions
KAWAN SEJATI MAJU BERSAMA,1408,3,405768.0,1,2,1,Hibernating
KAWAN SETIA PRAMESTI,374,4,2082429.0,2,2,2,About to Sleep
KAWANO PILAR MANDIRI,35,66,12955679.0,4,4,2,Potential Loyalist
KAWASAKI MOTOR INDONESIA,6,85,20044487488.0,4,4,4,Champions
KAWASAN INDUSTRI DUMAI,503,17,910856428.0,2,3,3,At Risk
KAWATA MARKETING INDONESIA,78,55,1909264174.0,3,4,3,Loyal Customers
KAYA HAYAT REZEKI,1066,41,106723766445.0,1,4,4,Can't Lose Them
KAYO SURYA UTAMA,9,50,8093881.0,4,4,2,Potential Loyalist
KAYU ASRI INDONESIA,188,19,2825776584.0,3,3,3,Loyal Customers
KAYU INDONESIA TEKNOLOGI DESIGN,253,2,14636.0,3,2,1,Need Attention
KAYU MULTIGUNA INDONESIA,1639,3,2136374.0,1,2,2,Hibernating
KAYU SENGON INDUSTRI,14,3,43979.0,4,2,1,Need Attention
KAYUWA INDONESIA,484,1,232828.0,2,1,1,Hibernating
KAYYIS GHAZALAH ADHWA,50,33,43275870431.0,3,4,4,Champions
KCC GLASS INDONESIA,315,15,470113541.0,3,3,3,Loyal Customers
KCF INDONESIA,125,1,937452285.0,3,1,3,New Customers
KDDI INDONESIA,1437,1,15288.0,1,1,1,Lost
KDK INDONESIA,35,46,136088840.0,4,4,3,Loyal Customers
KEBOMAS MAKMUR,350,1,24236.0,2,1,1,Hibernating
KEBON AGUNG,356,24,2423182735.0,2,3,3,At Risk
KEBUN TEBU MAS,329,79,12871571549.0,2,4,4,At Risk
KEDA INDUSTRIAL INDONESIA,84,4,28207842062.0,3,2,4,New Customers
KEDAUNG BUANA EMPORIA,1289,3,4773230.0,1,2,2,Hibernating
KEDAUNG INDAH CAN TBK,12,40,385179333.0,4,4,3,Loyal Customers
KEDAWUNG SETIA CORRUGATED CARTON BOX INDUSTRIAL,62,13,5455275410.0,3,3,3,Loyal Customers
KEDAWUNG SETIA INDUSTRIAL TBK,1571,26,12586561386.0,1,3,4,Can't Lose Them
KEDAWUNG SUBUR,30,26,19920223883.0,4,3,4,Champions
KEDIRI MATAHARI ICETUBE,512,1,46850.0,2,1,1,Hibernating
KEEN INDONESIA,374,1,432725531.0,2,1,3,Hibernating
KEENFINITY SECURITY AND COMMUNICATIONS INDONESIA,2,106,85664333.0,4,4,3,Loyal Customers
KEENINDO MEDIA PRATAMA,57,56,16141266688.0,3,4,4,Champions
KEFI WANGI INDONESIA,349,5,40634.0,2,2,1,About to Sleep
KEISHA SETIA ABADI,1738,1,20965.0,1,1,1,Lost
KEISI INDONESIA,114,121,219665020448.59756,3,4,4,Champions
KEJORA SINERGI MAKMUR,849,39,2298779.0,2,4,2,At Risk
KEJUJURAN JAYA AIMPORTIR,1142,11,17602465.0,1,3,2,Can't Lose Them
KEKAL LANCAR SENTOSA,23,64,138386778362.0,4,4,4,Champions
KEKHO ASANKA GEMILANG,202,1,1615772.0,3,1,2,Need Attention
KELINCI MAS UNGGUL,1540,1,50460.0,1,1,1,Lost
KELOLA MINA BUMI,1750,12,3382850.0,1,3,2,Can't Lose Them
KELOLA PANGAN MAKMUR,1347,21,5764170.0,1,3,2,Can't Lose Them
KEMANG INTI PERSADA,1017,49,158038211.0,1,4,3,Can't Lose Them
KEMAS INDAH MAJU,1,47,63655878210.0,4,4,4,Champions
KEMASAN KERTAS INDONESIA,25,35,22349248.0,4,4,2,Potential Loyalist
KEMENANGAN,507,14,11829829752.0,2,3,4,At Risk
KEMET ELECTRONICS INDONESIA,101,2,8558546.0,3,2,2,Need Attention
KEMIKO INDONESIA,246,1,17660016.0,3,1,2,Need Attention
KEMILAU INDAH PLASINDO,441,1,12000.0,2,1,1,Hibernating
KEMILAU JAYA SAMUDERA,50,1,146838.0,3,1,1,Need Attention
KEMINDO CAO RESOURCES,5,78,41471145.0,4,4,3,Loyal Customers
KEMINDO INTERNATIONAL,5,42,26667798.0,4,4,2,Potential Loyalist
KEMREZ CHEMICALS,266,5,68612.0,3,2,1,Need Attention
KEN KEN INDONESIA,1380,5,15370828.0,1,2,2,Hibernating
KENANGAN SEJAHTERA,1176,1,68334.0,1,1,1,Lost
KENCANA ABADI,954,5,7991125564.0,2,2,4,About to Sleep
KENCANA ARIND MURNI,30,25,42342446.0,4,3,3,Loyal Customers
KENCANA BAJA TRADA,1585,2,12164055.0,1,2,2,Hibernating
KENCANA GEMILANG,527,3,12021143.0,2,2,2,About to Sleep
KENCANA GRAHA PERMAI,103,1,623864593.0,3,1,3,New Customers
KENCANA INDI PERSADA,23,2,8852832.0,4,2,2,Need Attention
KENCANA INDUSTRI PLASTIK INDONESIA,1193,1,37200.0,1,1,1,Lost
KENCANA LINTAS MENTARI,3,43,16673871.0,4,4,2,Potential Loyalist
KENCANA LINTASINDO INTERNASIONAL,23,30,45067106166.0,4,4,4,Champions
KENCANA MAJU BERSAMA,1591,5,10656172.0,1,2,2,Hibernating
KENCANA PANELINDO,41,6,27588272573.0,4,2,4,New Customers
KENCANA PRINT,1454,2,7071661.0,1,2,2,Hibernating
KENCANA SAWIT INDONESIA,1400,1,5000.0,1,1,1,Lost
KENCANA SSANG YONG BUILD,877,31,133318202.0,2,4,3,At Risk
KENCANA SURYA LESTARI,481,1,1282829649.0,2,1,3,Hibernating
KENCANA TIARA GEMILANG,576,1,2540.0,2,1,1,Hibernating
KENCAR SUKSES INVESTAMA,313,1,653052675.0,3,1,3,New Customers
KENDA RUBBER INDONESIA,10,170,864580006.0,4,4,3,Loyal Customers
KENDAL ECO FURINDO,1147,5,12807959.0,1,2,2,Hibernating
KENINDO TUNGGAL PERKASA,808,1,637793335.0,2,1,3,Hibernating
KENKO SINAR INDONESIA,19,49,27806924.0,4,4,2,Potential Loyalist
KENLEE INDONESIA,804,3,3533860733.0,2,2,3,About to Sleep
KENNY BALON INDONESIA,1721,1,5753227.0,1,1,2,Lost
KENSAKI POLIMER INDONESIA,26,39,9273249069.0,4,4,4,Champions
KENSINGTON INTERNATIONAL,23,75,6492913.0,4,4,2,Potential Loyalist
KENT HAUS,1379,2,511193.0,1,2,1,Hibernating
KENT POWER DINAMIKA INDONESIA,55,39,873471.0,3,4,1,Promising
KENTINDO DUNIA KATUP,97,2,12035941072.0,3,2,4,New Customers
KENTJANA SAKTI INDONESIA,1192,3,162140.0,1,2,1,Hibernating
KENZIOTECH INSAN MANDIRI,106,3,1789009514.0,3,2,3,New Customers
KEONG NUSANTARA ABADI,91,9,6582971.0,3,3,2,Potential Loyalist
KEPLER SIGNALTEK INDONESIA,129,1,86085.0,3,1,1,Need Attention
KEPUH KENCANA ARUM,346,110,3037160620.0,2,4,3,At Risk
KERAMIKA INDONESIA ASSOSIASI TBK.,97,1,4400.0,3,1,1,Need Attention
KERISMAS WITIKCO MAKMUR,1072,19,763355057.0,1,3,3,Can't Lose Them
KERRY INGREDIENTS INDONESIA,16,68,12076347645.0,4,4,4,Champions
KERRY TRADING INDONESIA,33,185,4873101198.0,4,4,3,Loyal Customers
KERTA MULYA SEMESTA,1077,6,2779094.0,1,2,2,Hibernating
KERTA RAJASA RAYA,6,38,39273490797.0,4,4,4,Champions
KERTAS TERPADU BATAMINDO,343,220,542419297.0,2,4,3,At Risk
KERTAS TRIMITRA MANDIRI,1702,11,8041897.0,1,3,2,Can't Lose Them
KERTASARI,140,9,16123470.0,3,3,2,Potential Loyalist
KERTOPATEN KENCANA,1021,1,17830.0,1,1,1,Lost
KERZEN INTERNATIONAL INDONESIA,96,2,165724139.0,3,2,3,New Customers
KESAN JAYA SAKTI,1186,4,20361380.0,1,2,2,Hibernating
KESKA LESTARI,1368,5,798841014.0,1,2,3,Hibernating
KETABO JAYA BERSAMA,72,20,5343739.0,3,3,2,Potential Loyalist
KETHER COCO BIO,7,4,9222953690.0,4,2,4,New Customers
KEUM SU TECH,133,9,169549366.0,3,3,3,Loyal Customers
KEWALRAM INDONESIA,1504,1,33580.0,1,1,1,Lost
KEWPIE INDONESIA,20,32,2127400004.0,4,4,3,Loyal Customers
KEYSTONE INDONESIA,8,42,981628204.0,4,4,3,Loyal Customers
KEZILLAZ BERKAT BERKUDA,290,1,3312.0,3,1,1,Need Attention
KG FASHION INDONESIA,615,4,2142615426.0,2,2,3,About to Sleep
KG-WIKA-JAKON JOINT VENTURE,72,1,74130426.0,3,1,3,New Customers
KHANZA BERKAH MANDIRI,22,10,1487916.0,4,3,2,Potential Loyalist
KHARISMA AGRO SWADAYA,238,61,6760552.0,3,4,2,Potential Loyalist
KHARISMA AUTOKREASI PERMAI,23,5,967983.0,4,2,2,Need Attention
KHARISMA BARU INDONESIA,1364,1,4565516.0,1,1,2,Lost
KHARISMA DATA SEMESTA,521,3,5616925917.0,2,2,3,About to Sleep
KHARISMA GADING TIGA SATU,1239,13,1161753874.0,1,3,3,Can't Lose Them
KHARISMA GUNTUR SEJATI,36,27,1598875.0,4,4,2,Potential Loyalist
KHARISMA INDAH BUSANA,709,17,51069460.0,2,3,3,At Risk
KHARISMA INDONESIA,16,7,3848738903.0,4,3,3,Loyal Customers
KHARISMA INTERPLAST PRATAMA,546,1,89736.0,2,1,1,Hibernating
KHARISMA JAYA,125,5,2833544448.0,3,2,3,New Customers
KHARISMA LANGGENG MAKMUR,689,2,1066601.0,2,2,2,About to Sleep
KHARISMA LESTARI JAYA,631,13,1676428322.0,2,3,3,At Risk
KHARISMA LOGAM BAJA,22,52,17955422723.0,4,4,4,Champions
KHARISMA MAJU PERSADA,1511,18,5898114.0,1,3,2,Can't Lose Them
KHARISMA MITRA SEKAWAN,534,3,4684934061.0,2,2,3,About to Sleep
KHARISMA MULTI USAHA,300,21,34437120114.0,3,3,4,Champions
KHARISMA NIAGA UTAMA,1402,2,3126035.0,1,2,2,Hibernating
KHARISMA PELITA ABADI,1414,22,4650338.0,1,3,2,Can't Lose Them
KHARISMA PERSADA LESTARI,358,437,3147576073.0,2,4,3,At Risk
KHARISMA SARANA BAKTI,146,29,12318459.0,3,4,2,Potential Loyalist
KHARISMA SINARLINDO PERSADA,288,2,130290.0,3,2,1,Need Attention
KHARISMA SUKSES PERSADA,1161,1,3476006233.0,1,1,3,Lost
KHASANAH ABADI JAYA,1031,42,46772204886.0,1,4,4,Can't Lose Them
KHATULISTIWA JAYASAKTI ABADI,58,28,8478655.0,3,4,2,Potential Loyalist
KHN-METAL INDONESIA,7,36,66911840602.0,4,4,4,Champions
KHOM FOODS,47,21,21611825773.0,3,3,4,Champions
KHUNBO KENCANA,815,4,12868582021.0,2,2,4,About to Sleep
KIA TEXTILE INDUSTRIES,744,7,69435332.0,2,3,3,At Risk
KIAT ANANDA COLDSTORAGE,91,19,16242039898.0,3,3,4,Champions
KIAT BERKAH ANUGERAH TIJARAH,49,8,79731.0,3,3,1,Promising
KIDDY FUN INDONESIA,631,5,5349336149.0,2,2,3,About to Sleep
KIDE INTERNATIONAL INDONESIA,14,3,14815605058.0,4,2,4,New Customers
KIDO JAYA,1206,1,180413625.0,1,1,3,Lost
KIEN ATHAYA INDONESIA,1511,11,8614736981.0,1,3,4,Can't Lose Them
KIEVIT INDONESIA,321,4,2228595908.0,3,2,3,New Customers
KIHO BALI KORIN,59,5,120818.0,3,2,1,Need Attention
KIIK LESTARI,863,2,1045924397.0,2,2,3,About to Sleep
KIIP KIIP INDONESIA,567,1,4060132852.0,2,1,3,Hibernating
KIKKOMAN AKUFOOD INDONESIA,6,184,199151239321.0,4,4,4,Champions
KILANG PERTAMINA BALIKPAPAN,2,30,12832833.0,4,4,2,Potential Loyalist
KILANG PERTAMINA INTERNASIONAL,700,5,478456706.0,2,2,3,About to Sleep
KIM VIN INTERNASIONAL,1060,1,43384.0,1,1,1,Lost
KIMBERLY-CLARK INDONESIA,37,52,19834516.0,4,4,2,Potential Loyalist
KIMIA FARMA TBK,500,3,14250.0,2,2,1,About to Sleep
KIMIA KONSTRUKSI INDONESIA,245,2,6000.0,3,2,1,Need Attention
KIMIA MAHKOTA GROUP,31,3,3179362576.0,4,2,3,New Customers
KIMPAI DYNA TUBE,104,8,3624796878.0,3,3,3,Loyal Customers
KIMS MARKET ASIA,1043,1,34321875.0,1,1,2,Lost
KIMS PIPING INDONESIA,23,2,3015421.0,4,2,2,Need Attention
KIMS TRADING,1,17,226951.0,4,3,1,Promising
KINARYA ACITYA,1427,2,1186306811.0,1,2,3,Hibernating
KINAS GLOBAL INDONUSA,86,4,11075.0,3,2,1,Need Attention
KINAYUNG KARTA RAHARJA,1639,5,5721453.0,1,2,2,Hibernating
KINDALIN UTAMA INTERNASIONAL,289,58,169224805227.0,3,4,4,Champions
KINERJA MANDIRI UTAMA,7,5,259542.0,4,2,1,Need Attention
KINETO GLOBALING,1305,4,32446296.0,1,2,2,Hibernating
KING FOOD,667,1,1023829756.0,2,1,3,Hibernating
KING JAYA,538,1,1200.0,2,1,1,Hibernating
KING POCO STAR,506,1,8888.0,2,1,1,Hibernating
KING SHINING INDUSTRY,1682,15,5038359734.0,1,3,3,Can't Lose Them
KING TIRE INDONESIA,14,86,116389876987.0,4,4,4,Champions
KING TRADING,1,149,88089552.0,4,4,3,Loyal Customers
KINGCAN MANDIRI INDONESIA,528,1,103235123.0,2,1,3,Hibernating
KINGCO INDONESIA JAYA,332,5,11808341044.0,2,2,4,About to Sleep
KINGDA MARINE TECHNICAL INDONESIA,521,2,12867222.0,2,2,2,About to Sleep
KINGDOM INDAH,699,36,6012667405.0,2,4,4,At Risk
KINGFISH CIPTA SEJAHTERA,93,22,2884631.0,3,3,2,Potential Loyalist
KINGFISH PACIFIC INVESTAMA,16,30,17574816.0,4,4,2,Potential Loyalist
KINGKONG HARDWARE,454,1,36750.0,2,1,1,Hibernating
KINGLED INDONESIA,1121,20,149547276.0,1,3,3,Can't Lose Them
KINGPLUS CAHAYA INDONESIA,1010,2,16600760872.0,1,2,4,Hibernating
KINGSINDO INTERLINING,43,19,22835045.0,3,3,2,Potential Loyalist
KINGSTAR TRADING MANDIRI,114,6,1518575908.0,3,2,3,New Customers
KINGSUN METALINDO,128,7,2634021579.0,3,3,3,Loyal Customers
KINGTOWN TRADING INVESTMENT,56,2,8644974156.0,3,2,4,New Customers
KINGWI MAKMUR,544,1,6256055981.0,2,1,4,Hibernating
KING`S SAFETYWEAR,6,130,18208265.0,4,4,2,Potential Loyalist
KINO INDONESIA TBK,7,23,12259822.0,4,3,2,Potential Loyalist
KINO MALEE TRADING,15,46,98076048.0,4,4,3,Loyal Customers
KINTOMO ENGINEERING GROUP,27,1,830.0,4,1,1,Need Attention
KINYEER DIGITAL TECHNOLOGY,420,1,4841412779.0,2,1,3,Hibernating
KIRA ASWINDRA ADYATMA,1331,35,1898148.0,1,4,2,Can't Lose Them
KIRANA ANINDITA,1317,6,30999279749.0,1,2,4,Hibernating
KIRANA FOOD,3,340,313200056866.0,4,4,4,Champions
KIRANA NIAGA INDONESIA,545,2,53051.0,2,2,1,About to Sleep
KIRANA PACIFIC LUAS,255,2,217470.0,3,2,1,Need Attention
KIRANA UNTUNG MAKMUR,357,1,1192511.0,2,1,2,Hibernating
KIRANI MUTIARA JAGA,682,2,440730.0,2,2,1,About to Sleep
KIRBAT FIBER OPTIK,430,2,597645.0,2,2,1,About to Sleep
KIRIM KIRIM NUSANTARA,6,253,427576998164.0,4,4,4,Champions
KISCO INDONESIA,35,5,4716.0,4,2,1,Need Attention
KISO - SEIKO INDONESIA,926,13,2985140.0,2,3,2,At Risk
KISS JAPAN INDONESIA,10,16,809997.0,4,3,1,Promising
KISWIRE INDONESIA,27,94,795682349.0,4,4,3,Loyal Customers
KIT MATERIALS INDONESIA,1344,3,124415.0,1,2,1,Hibernating
KITA BERDIKARI MANDIRI,766,2,12247079.0,2,2,2,About to Sleep
KITA MAJU JAYA,429,2,122670.0,2,2,1,About to Sleep
KITCHEN PERFECTION INDONESIA,55,73,151185377.0,3,4,3,Loyal Customers
KITURAMI BUMYANG INDONESIA,1086,2,131324.0,1,2,1,Hibernating
KIU INDO UNGGUL,516,1,561095812.0,2,1,3,Hibernating
KIYOVIN JAYA SELALU,276,4,24444.0,3,2,1,Need Attention
KIZUNA SPORT INDONESIA,400,1,17885.0,2,1,1,Hibernating
KJL PLASTIC INDONESIA,451,1,2272627415.0,2,1,3,Hibernating
KK INDONESIA,349,115,185711675733.0,2,4,4,At Risk
KKI NUSANTARA SUKSES,6,28,69931811667.0,4,4,4,Champions
KKV INTERNATIONAL INDONESIA,4,312,367617422.0,4,4,3,Loyal Customers
KLASS ARTINDO,576,1,115249188.0,2,1,3,Hibernating
KLASSE MITRA INTERNASIONAL,511,1,819.0,2,1,1,Hibernating
KLIP TEKNOLOGI INDONESIA,1178,1,51282.0,1,1,1,Lost
KLOTS INTERIOR INDONESIA,365,1,6161138082.0,2,1,4,Hibernating
KLS NUSANTARA BERJAYA,125,3,20192927.0,3,2,2,Need Attention
KMI WIRE AND CABLE TBK,280,115,83147935614.0,3,4,4,Champions
KNAUF PLASTERBOARD INDONESIA,28,13,17544123305.0,4,3,4,Champions
KNH GARMINDO JAYA,632,6,14362874013.0,2,2,4,About to Sleep
KNT INDONESIA,237,1,211440.0,3,1,1,Need Attention
KOAS FOOD SYSTEM,149,2,651137.0,3,2,1,Need Attention
KOBAYU TRADING INDONESIA,951,27,59098247158.0,2,4,4,At Risk
KOBEKS,1707,1,250717.0,1,1,1,Lost
KOBELCO TRADING INDONESIA,113,41,29988271768.0,3,4,4,Champions
KOBELINDO COMPRESSORS,9,4,40136.0,4,2,1,Need Attention
KOBEXINDO EQUIPMENT,1387,11,48788255.0,1,3,3,Can't Lose Them
KOBEXINDO FORKLIFT INDONESIA,1567,5,21043441.0,1,2,2,Hibernating
KOBIN KERAMIK INDUSTRI,46,4,6827287949.0,3,2,4,New Customers
KOGELAHAR INDONUSA,1192,5,2491803032.0,1,2,3,Hibernating
KOHLER INDONESIA,2,214,209743578705.0,4,4,4,Champions
KOHNO INDONESIA,76,1,13500.0,3,1,1,Need Attention
KOHYEI INDONESIA,192,2,561078.0,3,2,1,Need Attention
KOI CAFE INDONESIA,41,32,15267565627.0,4,4,4,Champions
KOIKE MEDICAL INDONESIA,1598,1,4327395182.0,1,1,3,Lost
KOIN BUMI,9,635,289895074.0,4,4,3,Loyal Customers
KOJIMA MANUFACTURING INDONESIA,841,1,4115674356.0,2,1,3,Hibernating
KOKA MAHKOTA SUPER,86,1,1020098.0,3,1,2,Need Attention
KOKOH INTI AREBAMA TBK,2,838,2494710000231.0,4,4,4,Champions
KOKOH SEMESTA,1262,10,58285309.0,1,3,3,Can't Lose Them
KOKOHO INA TRADE,171,4,46341.0,3,2,1,Need Attention
KOLANG CITRAABADI,7,15,11354858.0,4,3,2,Potential Loyalist
KOLEKSI JAYA,161,37,66118598280.0,3,4,4,Champions
KOLINDO JAYA PRATAMA,1226,27,1395302.0,1,4,2,Can't Lose Them
KOLON INA,441,2,101095143.0,2,2,3,About to Sleep
KOLOSAL PRATAMA,3,104,40795043717.0,4,4,4,Champions
KOLOWA VENTILATION,761,11,301900.0,2,3,1,At Risk
KOMALASARI,1557,1,4621964.0,1,1,2,Lost
KOMAR COSMETICS TECHNOLOGY,51,1,13876111.0,3,1,2,Need Attention
KOMATSU BANE INDONESIA,8,7,3456623927.0,4,3,3,Loyal Customers
KOMATSU INDONESIA,24,163,143618793472.0,4,4,4,Champions
KOMATSU KOGYO INDONESIA,563,1,3406282253.0,2,1,3,Hibernating
KOMATSU MARKETING AND SUPPORT INDONESIA,416,243,75785412.0,2,4,3,At Risk
KOMERSIAL BATINDO,1119,11,3616205.0,1,3,2,Can't Lose Them
KOMINDO BIZOLUSI,3,60,33988800.0,4,4,2,Potential Loyalist
KOMITKAMI INTINUSA GEMILANG,150,2,7750.0,3,2,1,Need Attention
KOMITRANDO EMPORIO,1176,2,3888452.0,1,2,2,Hibernating
KOMODO INDUSTRIAL INDONESIA,22,39,241236340.0,4,4,3,Loyal Customers
KOMODO TEXTILE MILLS,75,1,14850.0,3,1,1,Need Attention
KOMPAK INDOPOLA,14,88,86143027059.0,4,4,4,Champions
KOMPAS JAYA PROPERTY FASAD,336,1,3731175.0,2,1,2,Hibernating
KOMPINDO FONTANARAYA,393,9,12301459.0,2,3,2,At Risk
KONA BAY INDONESIA,45,4,79040.0,3,2,1,Need Attention
KONE INDO ELEVATOR,328,4,143184736.0,2,2,3,About to Sleep
KONECRANES MATERIAL HANDLING INDONESIA,52,237,546706675106.0,3,4,4,Champions
KONECRANES TECHNOLOGY INDONESIA,23,12,37400881761.0,4,3,4,Champions
KONET TECH UTAMA,184,3,154844.0,3,2,1,Need Attention
KONEXINDO UNITAMA,616,129,7025879474.0,2,4,4,At Risk
KONG KIE MALINDO JAYA,1501,2,1679.0,1,2,1,Hibernating
KONGKIE MALINDO JAYA,31,258,465193077818.0,4,4,4,Champions
KONIMEX,42,36,8990151423.0,4,4,4,Champions
KONJAC FAMILY INDONESIA,345,1,4564473174.0,2,1,3,Hibernating
KONSUMEN KARYAWAN AEON INDONESIA,153,12,17381057969.0,3,3,4,Champions
KOOLZONE INDONESIA,414,9,1890020.0,2,3,2,At Risk
KOON BROTHER INDONESIA,23,51,136023729117.0,4,4,4,Champions
KOONA ANAK INDONESIA,72,2,4426647927.0,3,2,3,New Customers
KOPEL INTI INDUKSI,988,6,16271754922.0,1,2,4,Hibernating
KOPERASI KARYAWAN PEMUKA SAKTI MANIS INDAH,1463,1,7400.0,1,1,1,Lost
KOPERASI PRIMKOP TRIBUANA V,1441,13,8945357.0,1,3,2,Can't Lose Them
KOPERASI PUSPETA LUWU,1190,1,25080.0,1,1,1,Lost
KOPI BINTANG NUSANTARA,166,3,3900110978.0,3,2,3,New Customers
KOREAN FNB INDONESIA,122,7,11902017.0,3,3,2,Potential Loyalist
KOREANA MUSTIKA RAJA,63,3,1998276.0,3,2,2,Need Attention
KORIN HUB,182,204,37748611.0,3,4,3,Loyal Customers
KORIN METAL ARTS,1378,2,16070.0,1,2,1,Hibernating
KORIN MITRA JAYA,1414,1,1242624.0,1,1,2,Lost
KORINA SEMARANG,695,7,796263909.0,2,3,3,At Risk
KORINDO HEAVY INDUSTRY,1177,3,35972056.0,1,2,3,Hibernating
KORINUS,21,120,273068018.0,4,4,3,Loyal Customers
KORS BEAUTIPEDIA PERMATA,1302,2,14866754.0,1,2,2,Hibernating
KORTECH ANUGERAH INDONESIA,64,2,16050.0,3,2,1,Need Attention
KOSMOS OPTICS INDONESIA,22,11,25533248881.0,4,3,4,Champions
KOSMOS WAVELENGTH TECHNOLOGY,3,18,36996626961.0,4,3,4,Champions
KOSWEL PHARMA CARE,384,1,3762943786.0,2,1,3,Hibernating
KOTA BARU TOYS,1678,3,7980969747.0,1,2,4,Hibernating
KOTA JATI FURINDO,387,95,117294420.0,2,4,3,At Risk
KOTA MAKMUR,1262,5,495320.0,1,2,1,Hibernating
KOTAMAS MAKMUR NATIONAL AGENCY,44,8,17122976.0,3,3,2,Potential Loyalist
KOTAMINYAK INTERNUSA,49,2,721913.0,3,2,1,Need Attention
KOTARAYA FOTO VIDEO,1106,2,12830.0,1,2,1,Hibernating
