importer_name,Recency_days,Frequency,Monetary,R_Score,F_Score,M_Score,Segment
AGRINDO ANUGRAH ALAMRAYA,1175,43,95665078.0,1,4,3,Can't Lose Them
AGRINDO PUTRA LESTARI,184,2,5016603116.0,3,1,3,New Customers
AGRINUSA JAYA SANTOSA,76,7,17858481032.0,3,3,4,Champions
AGRITAMA MITRA SEJATI,5,104,47433542564.0,4,4,4,Champions
AGRITEAM BATAVIA INTERNASIONAL,1403,2,64904.0,1,1,1,Lost
AGRO ABADI MANDIRI,724,33,19706530380.0,2,4,4,At Risk
AGRO BINA USAHA,1158,30,38459649.0,1,4,3,Can't Lose Them
AGRO BINTANG PERSADA,1088,10,25803812.0,1,3,2,Can't Lose Them
AGRO BOGA UTAMA,2,1233,2563050589256.0,4,4,4,Champions
AGRO BUMI DIGDAYA,1031,52,14634170.0,1,4,2,Can't Lose Them
AGRO CITA MANDIRI,8,1,62976.0,4,1,1,Need Attention
AGRO CROPS INDONESIA,1422,15,38300096.0,1,3,3,Can't Lose Them
AGRO DYNAMICS INDO,27,7,9443534697.0,4,3,4,Champions
AGRO HASIL BUMI,1050,7,1284845.0,1,3,2,Can't Lose Them
AGRO HESINA JAYA,164,2,1833498.0,3,1,2,Need Attention
AGRO INDAH MANDIRI,1234,77,12712917413.0,1,4,4,Can't Lose Them
AGRO KENCANA FOOD,1262,10,12399729.0,1,3,2,Can't Lose Them
AGRO MANDIRI ABADI,28,6,150252.0,4,2,1,Need Attention
AGRO METRO PERSADA,1056,1,40600.0,1,1,1,Lost
AGRO MULTI MAKMUR,1149,126,2170671080.0,1,4,3,Can't Lose Them
AGRO NATURA SUKSES,1465,45,111356041095.0,1,4,4,Can't Lose Them
AGRO NUSA SUKSES,1023,311,101683146784.0,1,4,4,Can't Lose Them
AGRO NUSANTARA SAKTI,904,1,5073539837.0,2,1,3,Hibernating
AGRO PERTANIAN INDONESIA,1064,2,146450.0,1,1,1,Lost
AGRO PRAWIRA UTAMA,1063,35,226733775.0,1,4,3,Can't Lose Them
AGRO RAYA MAS,604,1,182000.0,2,1,1,Hibernating
AGRO SELARAS SINERGI,280,1,16773356.0,3,1,2,Need Attention
AGRO SENTOSA LESTARI,856,14,1118087525.0,2,3,3,At Risk
AGRO SENTRAL JAYA,1431,12,17347911.0,1,3,2,Can't Lose Them
AGRO SOLUSINDO PERMATA,1091,7,1323850.0,1,3,2,Can't Lose Them
AGRO TIMUR INDONESIA,1403,5,992468653.0,1,2,3,Hibernating
AGRO WESTINDO ABADI,63,7,1362653.0,3,3,2,Potential Loyalist
AGRO YASA MANDIRI,509,2,36810.0,2,1,1,Hibernating
AGROFARM NUSA RAYA,114,12,3739565.0,3,3,2,Potential Loyalist
AGROFOOD MAKMUR MANDIRI,23,41,14419111.0,4,4,2,Potential Loyalist
AGROLESTARI MANDIRI,104,1,559969674.0,3,1,3,New Customers
AGROPOLY SENTOSA MANDIRI,9,402,49716773.0,4,4,3,Loyal Customers
AGROS GLOBAL INDONESIA,274,1,56850.0,3,1,1,Need Attention
AGROTAMA JAYA ABADI,966,14,105179786.0,1,3,3,Can't Lose Them
AGROTEK ANDAL,673,3,65830.0,2,2,1,About to Sleep
AGROTRANS UTAMA,1662,4,800000.0,1,2,1,Hibernating
AGROVETA HUSADA DHARMA,238,2,83149242.0,3,1,3,New Customers
AGUNG BUMI CATUR,34,4,5729633387.0,4,2,3,New Customers
AGUNG CIPTA INDAH,927,2,1137524850.0,2,1,3,Hibernating
AGUNG ENVIRO TEKNOLOGI,141,1,29218104.0,3,1,2,Need Attention
AGUNG GLOBALINDO MAKMUR,160,1,78981.0,3,1,1,Need Attention
AGUNG HADI PERKASA,1429,67,23942463.0,1,4,2,Can't Lose Them
AGUNG KARYA SAMANTA,687,57,12425715.0,2,4,2,At Risk
AGUNG KUNCORO TEXTIEL INDUSTRI,129,2,170500.0,3,1,1,Need Attention
AGUNG LANCAR INDOMAKMUR,374,1,3072721231.0,2,1,3,Hibernating
AGUNG MAKMUR LESTARI,684,25,13768813430.0,2,3,4,At Risk
AGUNG MANDIRI LESTARI,1227,14,19604692985.0,1,3,4,Can't Lose Them
AGUNG MANDIRI WIJAYA,22,2,926976.0,4,1,2,Need Attention
AGUNG MANUFAKTUR DESAINDO,890,5,1819575.0,2,2,2,About to Sleep
AGUNG MULIA CHEMINDO,22,68,8164227375.0,4,4,4,Champions
AGUNG MULTI KENCANA,675,3,8822.0,2,2,1,About to Sleep
AGUNG NIAN PERKASA,1303,112,24465998580.0,1,4,4,Can't Lose Them
AGUNG PELITA INDUSTRINDO,184,3,34077204.0,3,2,2,Need Attention
AGUNG SAKTI,437,2,700326.0,2,1,1,Hibernating
AGUNG SATYA PRAKARSA,1051,98,173293341.0,1,4,3,Can't Lose Them
AGUNG SENTOSA NUSANTARA,154,6,1138220.0,3,2,2,Need Attention
AGUNG UNTUNG BERSAMA,352,10,10500887601.0,2,3,4,At Risk
AGUNG WIJAYA MAKMUR,55,9,4204442.0,3,3,2,Potential Loyalist
AGUNGSURYA LANGGENGMAKMUR,182,17,138580944.0,3,3,3,Loyal Customers
AH SUNG ABADI PERKASA,713,2,1251197.0,2,1,2,Hibernating
AHIMSA PRANA INDONESIA,643,1,228525.0,2,1,1,Hibernating
AICE ICE CREAM JATIM INDUSTRY,527,6,5050450728.0,2,2,3,About to Sleep
AICE SUMATERA INDUSTRY,538,2,1090809216.0,2,1,3,Hibernating
AICE YUMMY INDONESIA,1480,6,11764547834.0,1,2,4,Hibernating
AICHA FOOD INDONESIA,541,2,2378658021.0,2,1,3,Hibernating
AICHIKIKI AUTOPARTS INDONESIA,324,4,5706834816.0,3,2,3,New Customers
AIK CHEONG INDONESIA,514,23,21522459315.0,2,3,4,At Risk
AIK KOON INDONESIA,1063,17,991401.0,1,3,2,Can't Lose Them
AIK MOH CHEMICALS INDONESIA,1617,11,12282781111.0,1,3,4,Can't Lose Them
AIKO INDONESIA SENTOSA,1024,2,209152.0,1,1,1,Lost
AIN FASTENER UNGGUL,150,3,5232962.0,3,2,2,Need Attention
AIR LIQUIDE,442,2,499427.0,2,1,1,Hibernating
AIR LIQUIDE INDONESIA,149,2,1951958021.0,3,1,3,New Customers
AIR MAS,2,25,74550843206.0,4,3,4,Champions
AIR PUNE INDONESIA,121,1,39000.0,3,1,1,Need Attention
AIR TECH INTI KARAWACI INDONESIA,14,160,99540181256.0,4,4,4,Champions
AIRCONTECH INDONESIA,1723,1,222517505.0,1,1,3,Lost
AIRINDO MITRA UTAMA,218,43,204440182.0,3,4,3,Loyal Customers
AIRMAS INTERNATIONAL,883,12,260352339.0,2,3,3,At Risk
AIRPRO FRAGRANCES INDONESIA,3,17,70588395532.0,4,3,4,Champions
AIRTRAK OTR BAN,195,35,8482204.0,3,4,2,Potential Loyalist
AISAN NASMOCO INDUSTRI,244,4,8081637764.0,3,2,4,New Customers
AISIN INDONESIA AUTOMOTIVE,156,49,126490406908.0,3,4,4,Champions
AIWO INTERNASIONAL INDONESIA,1389,3,1230843419.0,1,2,3,Hibernating
AJI ICHIBAN INDONESIA,976,10,35514580.0,1,3,3,Can't Lose Them
AJINEX INTERNATIONAL,43,25,1201224626.0,3,3,3,Loyal Customers
AJINOMOTO INDONESIA,10,106,3769540178.0,4,4,3,Loyal Customers
AJINOMOTO SALES INDONESIA,31,24,6446411.0,4,3,2,Potential Loyalist
AKARI INDONESIA,1513,10,58502858.0,1,3,3,Can't Lose Them
AKASA BUMI JAYAMAKMUR,1130,1,35767.0,1,1,1,Lost
AKASHA WIRA INTERNATIONAL TBK,2,37,37296936670.0,4,4,4,Champions
AKASIANA TUNGGAL JAYA,3,5,47175593.0,4,2,3,New Customers
AKRAB DWITAMA REJEKI,66,2,448579.0,3,1,1,Need Attention
AKS TOOLS,359,5,17250339.0,2,2,2,About to Sleep
AKSARA KARUNA DHARANI,1122,29,30048879.0,1,4,2,Can't Lose Them
AKSELERASI GLOBAL SISTEM,38,17,1587132411.0,4,3,3,Loyal Customers
AKSES MITRA PRIMA,202,4,2678992509.0,3,2,3,New Customers
AKSES NUSANTARA DISTRIBUSI,9,53,60389456439.0,4,4,4,Champions
AKTUAL GRUP INDONESIA,1658,1,681454665.0,1,1,3,Lost
ALAKASA ANDALAN MITRA SEJATI,393,1,6250.0,2,1,1,Hibernating
ALAM AGUNG LESTARI,134,3,1952476.0,3,2,2,Need Attention
ALAM DIANRAYA,818,2,55829245.0,2,1,3,Hibernating
ALAM GEMACITRA PRIMA,962,23,2504333.0,1,3,2,Can't Lose Them
ALAM HIJAU SEMESTA,1749,1,39963.0,1,1,1,Lost
ALAM INROTAMA,1,47,5686190889.0,4,4,3,Loyal Customers
ALAM JAYA MAKMUR,1095,289,103907005433.0,1,4,4,Can't Lose Them
ALAM KAYA NUTRISI,198,2,6633334749.0,3,1,4,New Customers
ALAM NUSA TANI,306,51,23691268893.0,3,4,4,Champions
ALAM ORGANIK MAKMUR,87,40,25437276705.0,3,4,4,Champions
ALAM PERKASA LESTARI,2,7,14451961146.0,4,3,4,Champions
ALAM SEMESTA DUNIA,1106,2,24392.0,1,1,1,Lost
ALAM SEMESTA SANITARY,120,1,0.0,3,1,1,Need Attention
ALAM SUBUR PERMAI,1000,52,4778567.0,1,4,2,Can't Lose Them
ALAM SUKSES GEMILANG,2,39,1637365.0,4,4,2,Potential Loyalist
ALAM TEKNIK MANDIRI,257,8,124684807.0,3,3,3,Loyal Customers
ALAMANDHA MULIA LESTARI,49,1,723258.0,3,1,1,Need Attention
ALAMBOGA INTERNUSA,15,30,28033623236.0,4,4,4,Champions
ALANO MITRA LOGISTIK,37,10,178345351.0,4,3,3,Loyal Customers
ALAS MAS MEGAH,405,20,3440567.0,2,3,2,At Risk
ALASMAS BERKAT UTAMA,1290,6,21867098.0,1,2,2,Hibernating
ALAT BANTU DENGAR INDONESIA,1421,1,6295.0,1,1,1,Lost
ALBASIA BATANG SEJAHTERA,388,1,110644.0,2,1,1,Hibernating
ALBERTA MAKMUR UTAMA,663,5,78020.0,2,2,1,About to Sleep
ALBETA SUKSES MANDIRI,358,3,3664543.0,2,2,2,About to Sleep
ALBY NIAGA INDONESIA,554,1,29183.0,2,1,1,Hibernating
ALCORE MAJUJAYA BERSAMA,1,3,12655106162.0,4,2,4,New Customers
ALCOTRAINDO BATAM,381,1,159236633.0,2,1,3,Hibernating
ALDER MANDIRI SUKSES,50,2,1385019291.0,3,1,3,New Customers
ALDERON PRATAMA INDONESIA,24,19,30721849336.0,4,3,4,Champions
ALDO INDONESIA ADIPERKASA,23,274,564258483.0,4,4,3,Loyal Customers
ALDRIVIA CAHAYA SEJAHTERA,507,13,6654220993.0,2,3,4,At Risk
ALDZAMA,45,2,118959830.0,3,1,3,New Customers
ALEA GRAFIKA,9,33,21956068307.0,4,4,4,Champions
ALEESHA ANDIN BERKAH,10,1,1039453664.0,4,1,3,New Customers
ALESHA SUMBER JAYA,569,1,481012.0,2,1,1,Hibernating
ALFA ARTHA ANDHAYA,17,65,19369734.0,4,4,2,Potential Loyalist
ALFA AUTOMOTIVINDO NUSANTARA,49,4,241060.0,3,2,1,Need Attention
ALFA BETA CIPTA,918,1,391463688.0,2,1,3,Hibernating
ALFA BINTANG PERDANA LESTARI,1639,1,1251226809.0,1,1,3,Lost
ALFA INTERNAL OPTINDO,311,2,4291837652.0,3,1,3,New Customers
ALFA LAVAL INDONESIA,5,158,459173698548.0,4,4,4,Champions
ALFA METAL TEKNIK,6,11,46814215.0,4,3,3,Loyal Customers
ALFA MITRA INTERNUSA,16,14,26569596.0,4,3,2,Potential Loyalist
ALFA POLIMER INDONESIA,1634,1,112002732.0,1,1,3,Lost
ALFA PRIMA SENTOSA,51,57,3361890126.0,3,4,3,Loyal Customers
ALFA SEJATI SEJAHTERA,154,1,2692414466.0,3,1,3,New Customers
ALFA STAR INDONESIA,498,13,13380128.0,2,3,2,At Risk
ALFA SUKSES BERSAMA INTERNASIONAL,145,3,1521129983.0,3,2,3,New Customers
ALFA TECHNOLOGY MAKMUR,1323,1,67000.0,1,1,1,Lost
ALFA VALVES INDONESIA,22,39,49071911171.0,4,4,4,Champions
ALFA VIVA FAMILI,2,60,16205583051.0,4,4,4,Champions
ALFAGOMMA HYDRAULIC INDONESIA,77,38,137517394.0,3,4,3,Loyal Customers
ALFASUKO REKAYASA INDUSTRI,1235,1,7412504.0,1,1,2,Lost
ALFATIH UTAMA PERKASA,1311,1,39174.0,1,1,1,Lost
ALFIZIH,14,11,30655943.0,4,3,2,Potential Loyalist
ALFO CITRA ABADI,1,97,670808365.0,4,4,3,Loyal Customers
ALFRON GASINDO PRIMA,58,4,16477624149.0,3,2,4,New Customers
ALGERINDO PRIMA NUSANTARA,51,17,281830.0,3,3,1,Promising
