importer_name,Recency_days,Frequency,Monetary,R_Score,F_Score,M_Score,Segment,Tanggal_Snapshot
AGUNG KUNCORO TEXTIEL INDUSTRI,129,2,170500.0,3,1,1,Need Attention,2025-10-23
AGUNG LANCAR INDOMAKMUR,374,1,3072721231.0,2,1,3,Hibernating,2025-10-23
AGUNG MAKMUR LESTARI,684,25,13768813430.0,2,3,4,At Risk,2025-10-23
AGUNG MANDIRI LESTARI,1227,14,19604692985.0,1,3,4,Can't Lose Them,2025-10-23
AGUNG MANDIRI WIJAYA,22,2,926976.0,4,1,2,Need Attention,2025-10-23
AGUNG MANUFAKTUR DESAINDO,890,5,1819575.0,2,2,2,About to Sleep,2025-10-23
AGUNG MULIA CHEMINDO,22,68,8164227375.0,4,4,4,Champions,2025-10-23
AGUNG MULTI KENCANA,675,3,8822.0,2,2,1,About to Sleep,2025-10-23
AGUNG NIAN PERKASA,1303,112,24465998580.0,1,4,4,Can't Lose Them,2025-10-23
AGUNG PELITA INDUSTRINDO,184,3,34077204.0,3,2,2,Need Attention,2025-10-23
AGUNG SAKTI,437,2,700326.0,2,1,1,Hibernating,2025-10-23
AGUNG SATYA PRAKARSA,1051,98,173293341.0,1,4,3,Can't Lose Them,2025-10-23
AGUNG SENTOSA NUSANTARA,154,6,1138220.0,3,2,2,Need Attention,2025-10-23
AGUNG UNTUNG BERSAMA,352,10,10500887601.0,2,3,4,At Risk,2025-10-23
AGUNG WIJAYA MAKMUR,55,9,4204442.0,3,3,2,Potential Loyalist,2025-10-23
AGUNGSURYA LANGGENGMAKMUR,182,17,138580944.0,3,3,3,Loyal Customers,2025-10-23
AH SUNG ABADI PERKASA,713,2,1251197.0,2,1,2,Hibernating,2025-10-23
AHIMSA PRANA INDONESIA,643,1,228525.0,2,1,1,Hibernating,2025-10-23
AICE ICE CREAM JATIM INDUSTRY,527,6,5050450728.0,2,2,3,About to Sleep,2025-10-23
AICE SUMATERA INDUSTRY,538,2,1090809216.0,2,1,3,Hibernating,2025-10-23
AICE YUMMY INDONESIA,1480,6,11764547834.0,1,2,4,Hibernating,2025-10-23
AICHA FOOD INDONESIA,541,2,2378658021.0,2,1,3,Hibernating,2025-10-23
AICHIKIKI AUTOPARTS INDONESIA,324,4,5706834816.0,3,2,3,New Customers,2025-10-23
AIK CHEONG INDONESIA,514,23,21522459315.0,2,3,4,At Risk,2025-10-23
AIK KOON INDONESIA,1063,17,991401.0,1,3,2,Can't Lose Them,2025-10-23
AIK MOH CHEMICALS INDONESIA,1617,11,12282781111.0,1,3,4,Can't Lose Them,2025-10-23
AIKO INDONESIA SENTOSA,1024,2,209152.0,1,1,1,Lost,2025-10-23
AIN FASTENER UNGGUL,150,3,5232962.0,3,2,2,Need Attention,2025-10-23
AIR LIQUIDE,442,2,499427.0,2,1,1,Hibernating,2025-10-23
AIR LIQUIDE INDONESIA,149,2,1951958021.0,3,1,3,New Customers,2025-10-23
AIR MAS,2,25,74550843206.0,4,3,4,Champions,2025-10-23
AIR PUNE INDONESIA,121,1,39000.0,3,1,1,Need Attention,2025-10-23
AIR TECH INTI KARAWACI INDONESIA,14,160,99540181256.0,4,4,4,Champions,2025-10-23
AIRCONTECH INDONESIA,1723,1,222517505.0,1,1,3,Lost,2025-10-23
AIRINDO MITRA UTAMA,218,43,204440182.0,3,4,3,Loyal Customers,2025-10-23
AIRMAS INTERNATIONAL,883,12,260352339.0,2,3,3,At Risk,2025-10-23
AIRPRO FRAGRANCES INDONESIA,3,17,70588395532.0,4,3,4,Champions,2025-10-23
AIRTRAK OTR BAN,195,35,8482204.0,3,4,2,Potential Loyalist,2025-10-23
AISAN NASMOCO INDUSTRI,244,4,8081637764.0,3,2,4,New Customers,2025-10-23
AISIN INDONESIA AUTOMOTIVE,156,49,126490406908.0,3,4,4,Champions,2025-10-23
AIWO INTERNASIONAL INDONESIA,1389,3,1230843419.0,1,2,3,Hibernating,2025-10-23
AJI ICHIBAN INDONESIA,976,10,35514580.0,1,3,3,Can't Lose Them,2025-10-23
AJINEX INTERNATIONAL,43,25,1201224626.0,3,3,3,Loyal Customers,2025-10-23
AJINOMOTO INDONESIA,10,106,3769540178.0,4,4,3,Loyal Customers,2025-10-23
AJINOMOTO SALES INDONESIA,31,24,6446411.0,4,3,2,Potential Loyalist,2025-10-23
AKARI INDONESIA,1513,10,58502858.0,1,3,3,Can't Lose Them,2025-10-23
AKASA BUMI JAYAMAKMUR,1130,1,35767.0,1,1,1,Lost,2025-10-23
AKASHA WIRA INTERNATIONAL TBK,2,37,37296936670.0,4,4,4,Champions,2025-10-23
AKASIANA TUNGGAL JAYA,3,5,47175593.0,4,2,3,New Customers,2025-10-23
AKRAB DWITAMA REJEKI,66,2,448579.0,3,1,1,Need Attention,2025-10-23
AKS TOOLS,359,5,17250339.0,2,2,2,About to Sleep,2025-10-23
AKSARA KARUNA DHARANI,1122,29,30048879.0,1,4,2,Can't Lose Them,2025-10-23
AKSELERASI GLOBAL SISTEM,38,17,1587132411.0,4,3,3,Loyal Customers,2025-10-23
AKSES MITRA PRIMA,202,4,2678992509.0,3,2,3,New Customers,2025-10-23
AKSES NUSANTARA DISTRIBUSI,9,53,60389456439.0,4,4,4,Champions,2025-10-23
AKTUAL GRUP INDONESIA,1658,1,681454665.0,1,1,3,Lost,2025-10-23
ALAKASA ANDALAN MITRA SEJATI,393,1,6250.0,2,1,1,Hibernating,2025-10-23
ALAM AGUNG LESTARI,134,3,1952476.0,3,2,2,Need Attention,2025-10-23
ALAM DIANRAYA,818,2,55829245.0,2,1,3,Hibernating,2025-10-23
