importer_name,Recency_days,Frequency,Monetary,R_Score,F_Score,M_Score,Segment,Tanggal_Snapshot
MITRA SOLUSI VYMINDO,37,14,11309261.0,4,3,2,Potential Loyalist,2025-10-23
MITRA SUKSES ASIA,41,1,290000.0,4,1,1,Need Attention,2025-10-23
MITRA SUKSES JAYATAMA,7,177,83915988853.0,4,4,4,Champions,2025-10-23
MITRA SUMATINDO,1618,5,250782.0,1,2,1,Hibernating,2025-10-23
MITRA SUPERMARKET NUSANTARA,482,3,88588.0,2,2,1,About to Sleep,2025-10-23
MITRA SUPLAINDO SEJATI,153,10,10443037339.0,3,3,4,Champions,2025-10-23
MITRA TAMA GEMILANG,1108,20,23070035128.0,1,3,4,Can't Lose Them,2025-10-23
MITRA TAWAS NUSAINDO,71,3,1665743.0,3,2,2,Need Attention,2025-10-23
MITRA TEKNOLOGI SEKURINDO,528,14,27323612823.0,2,3,4,At Risk,2025-10-23
MITRA TIGA SEPAKAT,59,20,353909.0,3,3,1,Promising,2025-10-23
MITRA TOYOTAKA INDONESIA,272,1,631281.0,3,1,1,Need Attention,2025-10-23
MITRA USAHA PANDU ARTHA,44,9,749970.0,3,3,1,Promising,2025-10-23
MITRA UTAMA GRAFIKA,525,1,338246.0,2,1,1,Hibernating,2025-10-23
MITRA UTAMA PLASTINDO,17,56,22778104855.0,4,4,4,Champions,2025-10-23
MITRA WIRA PRATAMA,2,63,85081024326.0,4,4,4,Champions,2025-10-23
MITRABUANA SUKSES,1197,58,104815440.0,1,4,3,Can't Lose Them,2025-10-23
MITRACHEM NUTRI DELTA,51,15,473064386.0,3,3,3,Loyal Customers,2025-10-23
MITRACITRA MANDIRIOFFSET,567,1,10800.0,2,1,1,Hibernating,2025-10-23
MITRAKARYA AGROINDO,104,1,667646716.0,3,1,3,New Customers,2025-10-23
MITRAMODE DUTA FASHINDO,1,5921,16426609084019.0,4,4,4,Champions,2025-10-23
MITRANIAGA MULTIBUANA,1444,6,5906076.0,1,2,2,Hibernating,2025-10-23
MITRAPIRANTI USAHA,3,656,92533409184.0,4,4,4,Champions,2025-10-23
MITRASAMAYA SEJATI,122,6,87567.0,3,2,1,Need Attention,2025-10-23
MITRASIA JASA,3,289,40601866.0,4,4,3,Loyal Customers,2025-10-23
MITRASINDO USAHA GEMILANG,1379,4,3060934.0,1,2,2,Hibernating,2025-10-23
MITRASUKSES ARTA SEJAHTERA,3,1,6185824.0,4,1,2,Need Attention,2025-10-23
MITRATANI DUA TUJUH,211,2,822000.0,3,2,1,Need Attention,2025-10-23
MITRAWIRA INDONESIA FISHERY,1753,1,301600.0,1,1,1,Lost,2025-10-23
MITSINDO VISUAL PRATAMA,15,57,30373840.0,4,4,2,Potential Loyalist,2025-10-23
MITSUBA AUTOMOTIVE PARTS INDONESIA,2,88,20472082.0,4,4,2,Potential Loyalist,2025-10-23
MITSUBA INDONESIA,9,53,26660858.0,4,4,2,Potential Loyalist,2025-10-23
MITSUBISHI ELECTRIC INDONESIA,1613,61,40173794084.0,1,4,4,Can't Lose Them,2025-10-23
MITSUBISHI MOTORS KRAMA YUDHA INDONESIA,724,4,8140727169.0,2,2,4,About to Sleep,2025-10-23
MITSUBISHI MOTORS KRAMA YUDHA SALES INDONESIA,1,246,548041295714.0,4,4,4,Champions,2025-10-23
MITSUBISHI TANABE PHARMA INDONESIA,380,1,228974637.0,2,1,3,Hibernating,2025-10-23
MITSUBOSHI BELTING INDONESIA,15,161,386382464.0,4,4,3,Loyal Customers,2025-10-23
MITSUI INDONESIA,1,286,3306862964.0,4,4,3,Loyal Customers,2025-10-23
MITSUI KINZOKU CATALYSTS JAKARTA,14,205,285031264678.0,4,4,4,Champions,2025-10-23
MITSUYOSHI MANUFACTURING INDONESIA,483,1,35892834.0,2,1,3,Hibernating,2025-10-23
MIWADA INDUSTRIAL,358,1,8780.0,2,1,1,Hibernating,2025-10-23
MIZUPON MOTA TRADING,1708,1,95000.0,1,1,1,Lost,2025-10-23
MJOPTIM INDONESIA ABADI,937,1,242178.0,2,1,1,Hibernating,2025-10-23
MK PRIMA INDONESIA,815,1,30500.0,2,1,1,Hibernating,2025-10-23
MNC GS HOMESHOPPING,1659,1,5600.0,1,1,1,Lost,2025-10-23
MOBILE SARANA SENTOSA TBK.,854,7,258400.0,2,3,1,At Risk,2025-10-23
MOBIUS INDONESIA,416,7,9859994402.0,2,3,4,At Risk,2025-10-23
MODAGRAFICS AUTO INDONESIA,16,18,3194913107.0,4,3,3,Loyal Customers,2025-10-23
MODERN KERAMIK JAYA,400,86,2972135685.0,2,4,3,At Risk,2025-10-23
MODERN LOGISTIK INDONESIA,1553,1,2211073257.0,1,1,3,Lost,2025-10-23
MODERN METAL MAKMUR PERKASA,1510,2,1607530.0,1,2,2,Hibernating,2025-10-23
MODERN STEEL,864,2,50380.0,2,2,1,About to Sleep,2025-10-23
MODERO INTEGRA ASIA,272,9,2241621.0,3,3,2,Potential Loyalist,2025-10-23
MODORI NIAGA INDONESIA,577,1,170981.0,2,1,1,Hibernating,2025-10-23
MOELIA MAHARDIKA KENCANA,65,60,144552859602.0,3,4,4,Champions,2025-10-23
MOGSAW EXPRESS CAHAYA UTAMA,24,2,5936198905.0,4,2,3,New Customers,2025-10-23
MOJOPAHIT MANDIRI JAYA SENTOSA,22,120,432969288590.0,4,4,4,Champions,2025-10-23
MOLDS & DIES INDONESIA,386,1,2694992025.0,2,1,3,Hibernating,2025-10-23
MOLION TOYS INDONESIA,338,1,184858.0,2,1,1,Hibernating,2025-10-23
MOLITEC STEEL INDONESIA,1148,5,4554237.0,1,2,2,Hibernating,2025-10-23
MOLOME DALOME EDUTECH KIDKIDS,434,2,255283.0,2,2,1,About to Sleep,2025-10-23
MOLTEN ALUMINUM PRODUCER INDONESIA,1,2733,8682050559.0,4,4,4,Champions,2025-10-23
MOLYCOP TRADING INDONESIA,888,3,235608209.0,2,2,3,About to Sleep,2025-10-23
MOM EASY INDONESIA,569,1,2529756.0,2,1,2,Hibernating,2025-10-23
MOMEN GLOBAL INTERNASIONAL,1193,2,246780.0,1,2,1,Hibernating,2025-10-23
MOMENTUM ENGINEERING INDOCHIME,2,44,66176241180.0,4,4,4,Champions,2025-10-23
MOMMAS MITRA BERSAMA,491,1,1536.0,2,1,1,Hibernating,2025-10-23
MOMO CITA RASA,240,5,36157427025.0,3,2,4,New Customers,2025-10-23
MONAGRO KIMIA,552,1,11880.0,2,1,1,Hibernating,2025-10-23
MONALISA TUNGGALJAYA,1093,2,415337.0,1,2,1,Hibernating,2025-10-23
MONARCH MULTI INDUSTRI,34,36,49000615.0,4,4,3,Loyal Customers,2025-10-23
MONDELEZ INDONESIA MANUFACTURING,56,9,67520.0,3,3,1,Promising,2025-10-23
MONDELEZ INDONESIA TRADING,1,1123,107623807481.0,4,4,4,Champions,2025-10-23
MONG LOO INDONESIA,1387,3,2591594.0,1,2,2,Hibernating,2025-10-23
MONICA HIJAULESTARI,1469,28,74384938690.0,1,4,4,Can't Lose Them,2025-10-23
MONOTARO INDONESIA,1414,1,5340.0,1,1,1,Lost,2025-10-23
MOON LION INDUSTRIES INDONESIA,9,187,1296788824.0,4,4,3,Loyal Customers,2025-10-23
MORA TELEMATIKA INDONESIA TBK,273,2,2238160831.0,3,2,3,New Customers,2025-10-23
MOREGO KREASI CIPTA,464,25,3912229.0,2,3,2,At Risk,2025-10-23
MORESCO INDONESIA,98,2,6289637478.0,3,2,4,New Customers,2025-10-23
MORI JAYA ABADI,265,19,36601948.0,3,3,3,Loyal Customers,2025-10-23
MORI KAPITAL NUSANTARA,335,1,10882.0,2,1,1,Hibernating,2025-10-23
MORICH INDO FASHION,849,1,8206968315.0,2,1,4,Hibernating,2025-10-23
MORIRIN LIVING INDONESIA,470,26,108068254.0,2,4,3,At Risk,2025-10-23
MORIROKU TECHNOLOGY INDONESIA,422,1,8550610962.0,2,1,4,Hibernating,2025-10-23
MORITA MITRA BERSAMA,468,2,1511315.0,2,2,2,About to Sleep,2025-10-23
MORIUCHI INDONESIA,232,2,2265414997.0,3,2,3,New Customers,2025-10-23
MOSECO CANTIK SEJAHTERA,73,7,93389.0,3,3,1,Promising,2025-10-23
MOSES BAHTERA BWUANA,36,2,207507892.0,4,2,3,New Customers,2025-10-23
MOSES PUTRA KARUNIA,34,4,4528806120.0,4,2,3,New Customers,2025-10-23
MOSHA SENTRAL PERDAGANGAN,50,307,1282135560659.0,3,4,4,Champions,2025-10-23
MOTAREIGN AUTO INDONESIA,1213,2,115829.0,1,2,1,Hibernating,2025-10-23
MOTASA INDONESIA,379,28,46443207.0,2,4,3,At Risk,2025-10-23
MOTE INTERNATIONAL TECHNOLOGY,255,1,3500.0,3,1,1,Need Attention,2025-10-23
MOTOBATT INDONESIA,1,1,34800.0,4,1,1,Need Attention,2025-10-23
MOVIZOO TEKNOLOGI LAB,91,4,8983552463.0,3,2,4,New Customers,2025-10-23
MOWILEX INDONESIA,1602,7,53227412.0,1,3,3,Can't Lose Them,2025-10-23
MPETS INDONESIA APPLIANCE,328,20,953863160.0,2,3,3,At Risk,2025-10-23
MPG NETWORK WORLDWIDE,596,10,15362840133.0,2,3,4,At Risk,2025-10-23
MRO INDONESIA,427,6,1020939.0,2,2,2,About to Sleep,2025-10-23
MSB INDO MAKMUR,321,3,40817108.0,3,2,3,New Customers,2025-10-23
MST GOLF DISTRIBUTION,275,20,7215586222.0,3,3,4,Champions,2025-10-23
MUARA INDONESIA TIMUR,122,2,2539621368.0,3,2,3,New Customers,2025-10-23
MUARA KRAKATAU,1608,2,27012090.0,1,2,2,Hibernating,2025-10-23
MUARA PRIMA PERKASA,1752,5,3246366.0,1,2,2,Hibernating,2025-10-23
MUARA TUNGGAL,1112,8,20704266420.0,1,3,4,Can't Lose Them,2025-10-23
MUDAJAYA NIAGA PERKASA,23,43,25874417.0,4,4,2,Potential Loyalist,2025-10-23
MUDJI ANUGERAH REJEKI,1403,2,3368705359.0,1,2,3,Hibernating,2025-10-23
MUGI WARA SOKO,10,4,197146.0,4,2,1,Need Attention,2025-10-23
MUJUR JAYA MANDIRI,65,11,37819389.0,3,3,3,Loyal Customers,2025-10-23
MUJUR MANGGANA MEGAH,1196,3,3844610011.0,1,2,3,Hibernating,2025-10-23
MULIA ADHITAMA SEJATI,1,64,7944359958.0,4,4,4,Champions,2025-10-23
MULIA AGRO PERMAI,1602,2,1574943255.0,1,2,3,Hibernating,2025-10-23
MULIA ANUGERAH PERMATA,1431,2,52192.0,1,2,1,Hibernating,2025-10-23
MULIA ARTHA SUPLINDO,42,7,1783716.0,4,3,2,Potential Loyalist,2025-10-23
MULIA BAJA DINAMIKA SUKSES,846,7,37275069.0,2,3,3,At Risk,2025-10-23
MULIA BERKAT INDOTAMA,273,20,18654410.0,3,3,2,Potential Loyalist,2025-10-23
MULIA BERSAUDARA,23,55,148140799950.0,4,4,4,Champions,2025-10-23
MULIA BOGA RAYA TBK,9,21,151112605783.0,4,3,4,Champions,2025-10-23
MULIA CEMERLANG ABADI MULTI INDUSTRY,881,9,25151098670.0,2,3,4,At Risk,2025-10-23
MULIA CIPTA TEKNOLOGI,1680,6,6475191.0,1,2,2,Hibernating,2025-10-23
MULIA EMPAT SATU,496,46,147433952807.0,2,4,4,At Risk,2025-10-23
MULIA ESTETIK PERSADA,297,2,14079.0,3,2,1,Need Attention,2025-10-23
MULIA FORTUNA SEJAHTERA,1590,1,38031.0,1,1,1,Lost,2025-10-23
MULIA FROZINDO REFRIGERASI,1617,1,38500.0,1,1,1,Lost,2025-10-23
MULIA GAMESINDO,14,23,13762406.0,4,3,2,Potential Loyalist,2025-10-23
MULIA GRAND MANUFACTURE,178,2,285660.0,3,2,1,Need Attention,2025-10-23
MULIA INDAH CEMERLANG,1009,1,7446.0,1,1,1,Lost,2025-10-23
MULIA INDONESIA TUBES,132,2,8064584246.0,3,2,4,New Customers,2025-10-23
MULIA INDOTECH KONSTRUKSI,565,3,120584.0,2,2,1,About to Sleep,2025-10-23
MULIA INDUSTRINDO TBK,62,66,150516071.0,3,4,3,Loyal Customers,2025-10-23
MULIA INTI SEJAHTERA PACKINDO,337,1,3056977.0,2,1,2,Hibernating,2025-10-23
MULIA JAYA ABADI,380,2,15792192.0,2,2,2,About to Sleep,2025-10-23
MULIA JAYA MANDIRI,1382,3,776271.0,1,2,1,Hibernating,2025-10-23
MULIA KARUNIA MANGGIS,1058,2,1454292.0,1,2,2,Hibernating,2025-10-23
MULIA KARYA SENTOSA,1204,5,124620.0,1,2,1,Hibernating,2025-10-23
MULIA KHARISMA MAKMUR,807,42,5830437348.0,2,4,3,At Risk,2025-10-23
MULIA KNITTING FACTORY,97,248,4088203924.0,3,4,3,Loyal Customers,2025-10-23
MULIA LESTARI INDONESIA,701,4,1038068.0,2,2,2,About to Sleep,2025-10-23
MULIA MANDIRI SUPPLY,506,6,4697419904.0,2,2,3,About to Sleep,2025-10-23
MULIA PANGAN SEJAHTERA,1638,1,2121409422.0,1,1,3,Lost,2025-10-23
MULIA PERDANA CIPTA,1659,3,79460.0,1,2,1,Hibernating,2025-10-23
MULIA RAYA AGRIJAYA,673,271,92155883930.0,2,4,4,At Risk,2025-10-23
MULIA RAYA PRIMA,1540,55,14270945.0,1,4,2,Can't Lose Them,2025-10-23
MULIA SUKSES JAYA,16,126,95926560245.0,4,4,4,Champions,2025-10-23
MULIA VISI GRASINDO,415,1,6200.0,2,1,1,Hibernating,2025-10-23
MULIAGLASS,2,1778,143201743591.0,4,4,4,Champions,2025-10-23
MULIAKERAMIK INDAHRAYA,8,123,6096445323.0,4,4,4,Champions,2025-10-23
MULIAPACK GRAVURINDO,31,1,2583095.0,4,1,2,Need Attention,2025-10-23
MULIAPACK INTISEMPURNA,240,6,27685072.0,3,2,2,Need Attention,2025-10-23
MULIAPRIMA PACKINDO,132,2,44848.0,3,2,1,Need Attention,2025-10-23
MULIASARI PERMAI,428,1,8280.0,2,1,1,Hibernating,2025-10-23
MULIATAMA PERMATA PROSPEKINDO,23,90,44537437570.0,4,4,4,Champions,2025-10-23
MULLIA JAYA BERSAMA,528,4,533779195.0,2,2,3,About to Sleep,2025-10-23
MULTAZAM ONYX BUSANA,30,23,6358059723.0,4,3,4,Champions,2025-10-23
MULTI ADHI TUNGGAL SENTOSA,176,3,7870998135.0,3,2,4,New Customers,2025-10-23
MULTI ADHYAFLOCK NUSANTARA INDAH,15,66,123636182601.0,4,4,4,Champions,2025-10-23
MULTI ALAM ELOK,29,69,7483730.0,4,4,2,Potential Loyalist,2025-10-23
MULTI ALAM PRIMA RASA,33,220,459417569378.0,4,4,4,Champions,2025-10-23
MULTI ANEKA PANGAN NUSANTARA,127,5,18703853.0,3,2,2,Need Attention,2025-10-23
MULTI ANUGERAH LESTARI TEXINDO,7,92,253934674.0,4,4,3,Loyal Customers,2025-10-23
MULTI ARTHA ABADI,535,1,14350.0,2,1,1,Hibernating,2025-10-23
MULTI ARTHA KOSMETIK,693,1,25271.0,2,1,1,Hibernating,2025-10-23
MULTI ARTHAMAS GLASS INDUSTRY,195,25,31380787494.0,3,3,4,Champions,2025-10-23
MULTI ASIA EKSPRESS,525,3,1014876.0,2,2,2,About to Sleep,2025-10-23
MULTI BAJA FASTINDO,933,37,38107612635.0,2,4,4,At Risk,2025-10-23
MULTI BANGUN SEJAHTERA,1277,14,50686503092.0,1,3,4,Can't Lose Them,2025-10-23
MULTI BESTRI INDONESIA,24,17,2658212.0,4,3,2,Potential Loyalist,2025-10-23
MULTI BINA TEKNIKA UTAMA,1510,1,25402.0,1,1,1,Lost,2025-10-23
MULTI BINTANG INDONESIA NIAGA,484,3,160404.0,2,2,1,About to Sleep,2025-10-23
MULTI BUAH SEGAR,1281,271,10135353.0,1,4,2,Can't Lose Them,2025-10-23
MULTI CAHAYA BUANA,1381,57,10660597489.0,1,4,4,Can't Lose Them,2025-10-23
MULTI CIPTA ADIKARYA,1405,1,5108325.0,1,1,2,Lost,2025-10-23
MULTI CITRA RASA,191,15,11597493.0,3,3,2,Potential Loyalist,2025-10-23
MULTI COLOR JAKARTA INDONESIA,80,6,3077019434.0,3,2,3,New Customers,2025-10-23
MULTI COLOUR INDAH INDONESIA (MULCINDO),35,8,67266133.0,4,3,3,Loyal Customers,2025-10-23
MULTI DAYA USAHA,520,4,10049892851.0,2,2,4,About to Sleep,2025-10-23
MULTI DINAMIKA KENCANA,64,1,49510467.0,3,1,3,New Customers,2025-10-23
MULTI DUNIA INTERNASIONAL,1046,6,11394510.0,1,2,2,Hibernating,2025-10-23
MULTI DUTA UTARI,24,75,23155882752.0,4,4,4,Champions,2025-10-23
MULTI EKA CHEMICALINDO,281,1,12700.0,3,1,1,Need Attention,2025-10-23
MULTI ELEXINDO INDAH,17,277,600667394609.0,4,4,4,Champions,2025-10-23
MULTI FARMINDO JAYA,363,1,108000.0,2,1,1,Hibernating,2025-10-23
MULTI FASTPACK INDONESIA,23,203,370252499.0,4,4,3,Loyal Customers,2025-10-23
MULTI FLASHINDO KARISMA,14,72,24672314184.0,4,4,4,Champions,2025-10-23
MULTI FORINDO GRACIA,311,1,788888808.0,3,1,3,New Customers,2025-10-23
MULTI GARMEN INDONESIA,439,19,43922572591.0,2,3,4,At Risk,2025-10-23
MULTI GARMEN TRADING,7,33,7236650.0,4,4,2,Potential Loyalist,2025-10-23
MULTI GARMENJAYA,3,680,279047176466.0,4,4,4,Champions,2025-10-23
MULTI GAYAKIRANA,37,56,6857429223.0,4,4,4,Champions,2025-10-23
MULTI GUNA SELARAS,482,15,49485958.0,2,3,3,At Risk,2025-10-23
MULTI HIDRACHROME INDUSTRI,639,14,10319000.0,2,3,2,At Risk,2025-10-23
MULTI IMPORT INDONESIA,533,4,813134.0,2,2,1,About to Sleep,2025-10-23
MULTI INDO MAKMUR,1654,1,4989298.0,1,1,2,Lost,2025-10-23
MULTI INDOCITRA TBK,598,120,31660277392.0,2,4,4,At Risk,2025-10-23
MULTI INDOMANDIRI,21,8,621019979.0,4,3,3,Loyal Customers,2025-10-23
MULTI JAYA KENCANA,34,19,5826396233.0,4,3,3,Loyal Customers,2025-10-23
MULTI KARYA KOMPONEN,1024,1,3691284725.0,1,1,3,Lost,2025-10-23
MULTI KARYA KREASINDO,1610,1,5525557884.0,1,1,3,Lost,2025-10-23
MULTI KENCANA NUSANTARA,1549,11,8505642249.0,1,3,4,Can't Lose Them,2025-10-23
MULTI KOSMETIK LESTARI,321,1,90487.0,3,1,1,Need Attention,2025-10-23
MULTI MADIRI PLASINDO,101,1,87300.0,3,1,1,Need Attention,2025-10-23
MULTI MANAO INDONESIA,1,122,1682161775.0,4,4,3,Loyal Customers,2025-10-23
MULTI MANDIRI CHAMICAL,1263,1,426816.0,1,1,1,Lost,2025-10-23
MULTI MAYAKA,24,41,111308564221.0,4,4,4,Champions,2025-10-23
MULTI MEDIA ARTO SENTOSA,1280,2,2087094363.0,1,2,3,Hibernating,2025-10-23
MULTI MEGA SENTOSA,555,2,1097302671.0,2,2,3,About to Sleep,2025-10-23
MULTI NABATI SULAWESI,385,28,27422032479.0,2,4,4,At Risk,2025-10-23
MULTI NASIONAL PERKASA,318,221,1457275128.0,3,4,3,Loyal Customers,2025-10-23
MULTI OCEAN SHIPYARD,176,2,75280.0,3,2,1,Need Attention,2025-10-23
MULTI ONE PLUS,1205,1,16100.0,1,1,1,Lost,2025-10-23
MULTI OPTIMAL RODA INTERNUSA,1613,1,59928.0,1,1,1,Lost,2025-10-23
MULTI OPTIMAL SENTOSA,419,1,1536527334.0,2,1,3,Hibernating,2025-10-23
MULTI PERSADA INTERNASIONAL,20,1,88504.0,4,1,1,Need Attention,2025-10-23
MULTI PET,659,1,568504.0,2,1,1,Hibernating,2025-10-23
MULTI PILAR MANDIRI,1109,2,102568.0,1,2,1,Hibernating,2025-10-23
MULTI PIRANTI SUKSES INTERNASIONAL,57,4,80338.0,3,2,1,Need Attention,2025-10-23
MULTI PRATAMA INTERBUANA INDONESIA,1531,1,22800.0,1,1,1,Lost,2025-10-23
MULTI PRIMA ABADI MAS,664,10,6757587.0,2,3,2,At Risk,2025-10-23
MULTI PRIMA FOOD,545,8,312641.0,2,3,1,At Risk,2025-10-23
MULTI PRIMA SEJAHTERA,611,134,438576515298.0,2,4,4,At Risk,2025-10-23
MULTI PUTRA EKA SEJAHTERA,1721,1,72222.0,1,1,1,Lost,2025-10-23
MULTI RONA ANUGERAH,566,1,2760.0,2,1,1,Hibernating,2025-10-23
MULTI ROTATEK INDONESIA,1189,2,345202.0,1,2,1,Hibernating,2025-10-23
MULTI SANDANG KURNIA,15,16,54468393.0,4,3,3,Loyal Customers,2025-10-23
MULTI SARANA COMPUTER,1263,16,31481529.0,1,3,2,Can't Lose Them,2025-10-23
MULTI SARANA INTERNASIONAL,1452,1,1896.0,1,1,1,Lost,2025-10-23
MULTI SARANA PRIMA NUSANTARA,22,252,141953579541.0,4,4,4,Champions,2025-10-23
MULTI SERVICE ANDROMEDA,364,1,5000.0,2,1,1,Hibernating,2025-10-23
MULTI SHOP NUSANTARA,1370,7,848455.0,1,3,1,Can't Lose Them,2025-10-23
MULTI SINERGI KENCANA,321,2,450576.0,3,2,1,Need Attention,2025-10-23
MULTI SISTEM TEKNOLOGI,29,56,1835106.0,4,4,2,Potential Loyalist,2025-10-23
MULTI SISTIM KOMUNIKASI,34,29,2537408452.0,4,4,3,Loyal Customers,2025-10-23
MULTI SOLUTAMA INDONESIA,1738,3,134012.0,1,2,1,Hibernating,2025-10-23
MULTI SPUNINDO JAYA TBK,1386,1,3220.0,1,1,1,Lost,2025-10-23
MULTI STAR RUKUN ABADI,553,1,2263519.0,2,1,2,Hibernating,2025-10-23
MULTI SUKSES PRATAMA,35,9,1228663.0,4,3,2,Potential Loyalist,2025-10-23
MULTI SURYA TUNGGAL,20,112,89806260.0,4,4,3,Loyal Customers,2025-10-23
MULTI TALENTA BESTINDO,1307,3,29676559.0,1,2,2,Hibernating,2025-10-23
MULTI TEKNIK INTERNUSA,49,3,241720.0,3,2,1,Need Attention,2025-10-23
MULTI TEKNINDO INFOTRONIKA,415,19,8892034547.0,2,3,4,At Risk,2025-10-23
MULTI TERAINDO,7,42,59313707862.0,4,4,4,Champions,2025-10-23
MULTI TRANS BESTINDO,630,1,5768808.0,2,1,2,Hibernating,2025-10-23
MULTI USAHA PERKASA,337,1,2404.0,2,1,1,Hibernating,2025-10-23
MULTI VISCOMINDO,1,483,246884441995.0,4,4,4,Champions,2025-10-23
MULTI WARNA GRAFIKA,526,5,14530063.0,2,2,2,About to Sleep,2025-10-23
MULTIBANGUN REKATAMA PATRIA,30,12,24119870.0,4,3,2,Potential Loyalist,2025-10-23
MULTIBRATA ANUGERAH UTAMA,722,2,121013953.0,2,2,3,About to Sleep,2025-10-23
MULTICOM PERSADA INTERNATIONAL,23,7,3806103.0,4,3,2,Potential Loyalist,2025-10-23
MULTIFORTUNA SINARDELTA,329,3,334479.0,2,2,1,About to Sleep,2025-10-23
MULTIGUNA BERSAMA JAYA,1245,100,107605026.0,1,4,3,Can't Lose Them,2025-10-23
MULTIGUNA GEMILANG,51,25,3363305.0,3,3,2,Potential Loyalist,2025-10-23
MULTIGUNA JAYA MANDIRI,280,5,7714509.0,3,2,2,Need Attention,2025-10-23
MULTIKARYA ASIA PASIFIK RAYA TBK,30,5,5781599964.0,4,2,3,New Customers,2025-10-23
MULTIKARYA INTIMANUNGGAL,140,44,2943604368.0,3,4,3,Loyal Customers,2025-10-23
MULTIMAS NABATI ASAHAN,10,91,84752613478.0,4,4,4,Champions,2025-10-23
MULTIMEGAH INDAHJAYA,98,4,6902263049.0,3,2,4,New Customers,2025-10-23
MULTINAS TJAHJA SEJAHTERA,495,4,12817115.0,2,2,2,About to Sleep,2025-10-23
MULTINDO JAYA RAYA,324,1,16947.0,3,1,1,Need Attention,2025-10-23
MULTINDO TECHNOLOGY UTAMA,20,12,11569763519.0,4,3,4,Champions,2025-10-23
MULTINDO VELVET INDUSTRIES,149,1,2386008.0,3,1,2,Need Attention,2025-10-23
MULTIPACK PLASTINDO JAYA,20,27,97318407.0,4,4,3,Loyal Customers,2025-10-23
MULTIPERSADA GATRAMEGAH,584,1,25976.0,2,1,1,Hibernating,2025-10-23
MULTIPOLAR TECHNOLOGY TBK,27,60,372451705.0,4,4,3,Loyal Customers,2025-10-23
MULTIRASA NUSANTARA,107,1,40.0,3,1,1,Need Attention,2025-10-23
MULTIREDJEKI KITA,100,6,3617868.0,3,2,2,Need Attention,2025-10-23
MULTIREKA TEHNIK DINAMIKA,769,1,12174705.0,2,1,2,Hibernating,2025-10-23
MULTISARI IDAMAN,2,53,77275482347.0,4,4,4,Champions,2025-10-23
MULTISTACK INDONESIA,192,2,190000.0,3,2,1,Need Attention,2025-10-23
MULTISTRADA ARAH SARANA TBK,6,975,8549314609.0,4,4,4,Champions,2025-10-23
MULTISTRAN ENGINEERING,1030,2,70640.0,1,2,1,Hibernating,2025-10-23
MULTITEK INDOPANCA,29,66,143106318374.0,4,4,4,Champions,2025-10-23
MULTITEK KABEL INDONESIA,478,3,3217778972.0,2,2,3,About to Sleep,2025-10-23
MULTITEX SARANA USAHA,443,144,351988439887.0,2,4,4,At Risk,2025-10-23
MULTITREND INDO,1086,37,62641509.0,1,4,3,Can't Lose Them,2025-10-23
MULTIWIRA MITRA PERKASA,10,15,6267152949.0,4,3,4,Champions,2025-10-23
MULYA ADHI PARAMITA,2,304,16048015096.0,4,4,4,Champions,2025-10-23
MULYA AGUNG JAYA,1406,6,602769732.0,1,2,3,Hibernating,2025-10-23
MULYA BAHTERA MARINA INDUSTRI,1602,1,126516258.0,1,1,3,Lost,2025-10-23
MULYA JAYA PERKASA,343,730,67572549233.0,2,4,4,At Risk,2025-10-23
MULYA KARYA UNGGUL,332,13,4013887627.0,2,3,3,At Risk,2025-10-23
MULYA MAKMUR PRIMA SENTOSA,231,18,7687606.0,3,3,2,Potential Loyalist,2025-10-23
MULYA PETRA PANELINDO,45,2,1236691676.0,3,2,3,New Customers,2025-10-23
MULYATEK KREASI ANDALAN,8,3,6463829165.0,4,2,4,New Customers,2025-10-23
MULYO FURNITURE MANUFACTURERS,519,4,24245.0,2,2,1,About to Sleep,2025-10-23
MUNA SAMUDERA MANDIRI,1039,22,3320935.0,1,3,2,Can't Lose Them,2025-10-23
MUNAJAT SEPERTIGA MALAM,55,14,7616558.0,3,3,2,Potential Loyalist,2025-10-23
MUNCUL PUTRA OFFSET,856,1,5480871.0,2,1,2,Hibernating,2025-10-23
MURA KRISTAL SEMARANG,710,1,339880.0,2,1,1,Hibernating,2025-10-23
MURAH SEMESTA SEJAHTERA,43,12,47791028165.0,3,3,4,Champions,2025-10-23
MURAKAMI DELLOYD INDONESIA,28,20,12793435311.0,4,3,4,Champions,2025-10-23
MURANO GLASSINDO MAKMUR,239,55,140033293.0,3,4,3,Loyal Customers,2025-10-23
MURIA BAHARI INDONESIA,427,3,554670.0,2,2,1,About to Sleep,2025-10-23
MURIA PANAH SAKTI,10,4,30705031.0,4,2,2,Need Attention,2025-10-23
MURIA SUMBA MANIS,316,20,3137994993.0,3,3,3,Loyal Customers,2025-10-23
MURINDA IRON STEEL,1241,1,25851372.0,1,1,2,Lost,2025-10-23
MURNI DHARMA KARYA,156,1,63525.0,3,1,1,Need Attention,2025-10-23
MURNI TUNASA UNGGUL,1053,2,196875.0,1,2,1,Hibernating,2025-10-23
MUROTECH INDONESIA,1366,9,3554925.0,1,3,2,Can't Lose Them,2025-10-23
MURSMEDIC,1716,1,127968.0,1,1,1,Lost,2025-10-23
MUSIM BERLIAN JAYA,1540,1,55100.0,1,1,1,Lost,2025-10-23
MUSIM MAS,27,15,156908934.0,4,3,3,Loyal Customers,2025-10-23
